m,TagName,
"2010-12-01 00:00:00","javascript","4949"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5339"
"2010-12-01 00:00:00","python","2471"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7972"
"2011-01-01 00:00:00","c++","3481"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6521"
"2011-01-01 00:00:00","javascript","5412"
"2011-01-01 00:00:00","perl","473"
"2011-01-01 00:00:00","php","6369"
"2011-01-01 00:00:00","python","2896"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1631"
"2011-02-01 00:00:00","c#","8199"
"2011-02-01 00:00:00","c++","3432"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6844"
"2011-02-01 00:00:00","javascript","5591"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6659"
"2011-02-01 00:00:00","python","3002"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2109"
"2011-03-01 00:00:00","c#","9963"
"2011-03-01 00:00:00","c++","4164"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8444"
"2011-03-01 00:00:00","javascript","6747"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8040"
"2011-03-01 00:00:00","python","3739"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","c#","9248"
"2011-04-01 00:00:00","c++","4156"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7878"
"2011-04-01 00:00:00","javascript","6868"
"2011-04-01 00:00:00","perl","549"
"2011-04-01 00:00:00","php","7558"
"2011-04-01 00:00:00","python","3321"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1824"
"2011-05-01 00:00:00","c#","9959"
"2011-05-01 00:00:00","c++","3861"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8515"
"2011-05-01 00:00:00","javascript","7287"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8032"
"2011-05-01 00:00:00","python","3508"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1562"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1759"
"2011-06-01 00:00:00","c#","9708"
"2011-06-01 00:00:00","c++","3793"
"2011-06-01 00:00:00","delphi","452"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7856"
"2011-06-01 00:00:00","javascript","7656"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","7982"
"2011-06-01 00:00:00","python","3457"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1553"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1656"
"2011-07-01 00:00:00","c#","9552"
"2011-07-01 00:00:00","c++","3841"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8117"
"2011-07-01 00:00:00","javascript","8074"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8586"
"2011-07-01 00:00:00","python","3644"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1825"
"2011-08-01 00:00:00","c#","9996"
"2011-08-01 00:00:00","c++","3941"
"2011-08-01 00:00:00","delphi","420"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8622"
"2011-08-01 00:00:00","javascript","8860"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8833"
"2011-08-01 00:00:00","python","3813"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1913"
"2011-09-01 00:00:00","c#","9229"
"2011-09-01 00:00:00","c++","3924"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8273"
"2011-09-01 00:00:00","javascript","8128"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7979"
"2011-09-01 00:00:00","python","3502"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2136"
"2011-10-01 00:00:00","c#","9143"
"2011-10-01 00:00:00","c++","4326"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8489"
"2011-10-01 00:00:00","javascript","7969"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","7969"
"2011-10-01 00:00:00","python","3597"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1599"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2194"
"2011-11-01 00:00:00","c#","9830"
"2011-11-01 00:00:00","c++","4445"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9560"
"2011-11-01 00:00:00","javascript","8588"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8588"
"2011-11-01 00:00:00","python","3851"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1730"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","c","1997"
"2011-12-01 00:00:00","c#","9237"
"2011-12-01 00:00:00","c++","4325"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9103"
"2011-12-01 00:00:00","javascript","8259"
"2011-12-01 00:00:00","perl","537"
"2011-12-01 00:00:00","php","8257"
"2011-12-01 00:00:00","python","3602"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1664"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2212"
"2012-01-01 00:00:00","c#","10303"
"2012-01-01 00:00:00","c++","4510"
"2012-01-01 00:00:00","delphi","508"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10044"
"2012-01-01 00:00:00","javascript","9518"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9162"
"2012-01-01 00:00:00","python","4170"
"2012-01-01 00:00:00","r","689"
"2012-01-01 00:00:00","ruby","1880"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2390"
"2012-02-01 00:00:00","c#","10654"
"2012-02-01 00:00:00","c++","5067"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10844"
"2012-02-01 00:00:00","javascript","9880"
"2012-02-01 00:00:00","perl","611"
"2012-02-01 00:00:00","php","9790"
"2012-02-01 00:00:00","python","4469"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2702"
"2012-03-01 00:00:00","c#","11456"
"2012-03-01 00:00:00","c++","5182"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12244"
"2012-03-01 00:00:00","javascript","10600"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10738"
"2012-03-01 00:00:00","python","4993"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2656"
"2012-04-01 00:00:00","c#","10965"
"2012-04-01 00:00:00","c++","5256"
"2012-04-01 00:00:00","delphi","480"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11885"
"2012-04-01 00:00:00","javascript","10554"
"2012-04-01 00:00:00","perl","596"
"2012-04-01 00:00:00","php","10238"
"2012-04-01 00:00:00","python","4880"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1947"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","225"
"2012-05-01 00:00:00","c","2458"
"2012-05-01 00:00:00","c#","11394"
"2012-05-01 00:00:00","c++","4935"
"2012-05-01 00:00:00","delphi","474"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12029"
"2012-05-01 00:00:00","javascript","11387"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10787"
"2012-05-01 00:00:00","python","5044"
"2012-05-01 00:00:00","r","869"
"2012-05-01 00:00:00","ruby","1950"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","199"
"2012-06-01 00:00:00","c","2294"
"2012-06-01 00:00:00","c#","11218"
"2012-06-01 00:00:00","c++","4603"
"2012-06-01 00:00:00","delphi","415"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","10989"
"2012-06-01 00:00:00","javascript","11137"
"2012-06-01 00:00:00","perl","738"
"2012-06-01 00:00:00","php","10448"
"2012-06-01 00:00:00","python","5245"
"2012-06-01 00:00:00","r","965"
"2012-06-01 00:00:00","ruby","1879"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","200"
"2012-07-01 00:00:00","c","2355"
"2012-07-01 00:00:00","c#","12216"
"2012-07-01 00:00:00","c++","5240"
"2012-07-01 00:00:00","delphi","435"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12161"
"2012-07-01 00:00:00","javascript","12244"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11625"
"2012-07-01 00:00:00","python","5699"
"2012-07-01 00:00:00","r","1110"
"2012-07-01 00:00:00","ruby","2055"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2308"
"2012-08-01 00:00:00","c#","11897"
"2012-08-01 00:00:00","c++","5136"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12188"
"2012-08-01 00:00:00","javascript","12378"
"2012-08-01 00:00:00","perl","760"
"2012-08-01 00:00:00","php","11804"
"2012-08-01 00:00:00","python","5845"
"2012-08-01 00:00:00","r","1084"
"2012-08-01 00:00:00","ruby","2052"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c","2520"
"2012-09-01 00:00:00","c#","11222"
"2012-09-01 00:00:00","c++","4880"
"2012-09-01 00:00:00","delphi","383"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11547"
"2012-09-01 00:00:00","javascript","11124"
"2012-09-01 00:00:00","perl","661"
"2012-09-01 00:00:00","php","10911"
"2012-09-01 00:00:00","python","5231"
"2012-09-01 00:00:00","r","1056"
"2012-09-01 00:00:00","ruby","1952"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3144"
"2012-10-01 00:00:00","c#","12658"
"2012-10-01 00:00:00","c++","5887"
"2012-10-01 00:00:00","delphi","475"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13408"
"2012-10-01 00:00:00","javascript","12356"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11685"
"2012-10-01 00:00:00","python","6114"
"2012-10-01 00:00:00","r","1263"
